Age,Education,Marital status,Location,Occupation,Do you have a bank account?,Bank Name,Preferred Service Channel,Preferred contact,What do you look for in a bank? (Select all that apply),Customer service response time,Service Quality,Was the support useful?,Likelihood to recommend,Likelihood to continue,Where do you feel the bank needs improvement? (Select all that apply),Age_group,Areas_of_Improvement,Bank Selection
19,Bachelors,Single,Europe,Student,Yes,Millennium BCP,Mobile banking app,Telephone,"Multiple branches, Customer service, Proximity, Products offered",15.0,4.0,5.0,Yes,5.0,"Customer service, Easy credit/loans",Young,Customer service,Multiple branches
22,Bachelors,Single,Europe,Services,Yes,Swedbank ,Mobile banking app,Telephone,"Customer service, Products offered",5.0,5.0,5.0,Yes,5.0,Product range offered,Young,Product range offered,Customer service
22,Bachelors,Single,Europe,Self-employed,Yes,Millenium BCP,Online banking,In person (at the branch),Proximity,20.0,4.0,4.0,Yes,4.0,Customer service,Young,Customer service,Proximity
25,Masters,Single,Europe,Services,Yes,Crédito Agrícola ,Mobile banking app,Telephone,"Multiple branches, Customer service, Proximity, Products offered",7.0,4.0,5.0,Yes,5.0,"Customer service, Net banking",Young,Customer service,Multiple branches
21,Bachelors,Single,Africa,Services,Yes,GTB,Mobile banking app,Telephone,"Customer service, Proximity",5.0,3.0,4.0,Yes,4.0,Product range offered,Young,Product range offered,Customer service
38,PHD,Married,Europe,Manager,Yes,Millennium bcp,Mobile banking app,Telephone,"Customer service, Products offered",5.0,5.0,5.0,Yes,5.0,,Old,,Customer service
24,Bachelors,Single,Europe,Student,Yes,Bank of Scotland ,Mobile banking app,Email,"Customer service, Proximity, Products offered",5.0,5.0,5.0,Yes,5.0,Easy credit/loans,Young,Easy credit/loans,Customer service
46,Masters,Married,Europe,Manager,Yes,"CGD, BPI, Santander, moey, activobank",Online banking,Email,Products offered,10.0,3.0,3.0,Yes,3.0,"Product range offered, Proper information about products",Old,Product range offered,Products offered
24,High school Diploma,Single,Europe,Student,Yes,CGD,Online banking,Telephone,Multiple branches,5.0,4.0,5.0,Yes,4.0,Customer service,Young,Customer service,Multiple branches
25,Bachelors,Single,Europe,Services,Yes,Santander Totta,Branch banking,In person (at the branch),"Customer service, Proximity, Products offered",2.0,4.0,4.0,Yes,5.0,Customer service,Young,Customer service,Customer service
21,Bachelors,Single,Europe,Services,Yes,Novo banco,Bank ATM,In person (at the branch),Customer service,5.0,4.0,4.0,Yes,5.0,Product range offered,Young,Product range offered,Customer service
37,Masters,Married,Europe,Technician,Yes,BCP,Mobile banking app,Telephone,"Customer service, Proximity, Products offered",5.0,4.0,4.0,Yes,4.0,Proper information about products,Old,Proper information about products,Customer service
26,Bachelors,Single,Europe,Student,Yes,Santander ,Mobile banking app,Email,"Multiple branches, Customer service, Proximity",10.0,5.0,5.0,Yes,5.0,Easy credit/loans,Young,Easy credit/loans,Multiple branches
34,Masters,Married,Europe,Student,Yes,Caixa Directa,Mobile banking app,Telephone,"Customer service, All that I need into the app",60.0,4.0,4.0,Yes,4.0,Net banking,Middle-aged,Net banking,Customer service
29,Masters,Single,Europe,Unemployed,Yes,LCL + Revolut,Mobile banking app,Email,"Customer service, Low prices of basic services + international fees",1440.0,3.0,4.0,No,3.0,"Product range offered, Proper information about products",Middle-aged,Product range offered,Customer service
29,Bachelors,Single,Europe,Student,Yes,Millenium,Mobile banking app,Telephone,Customer service,5.0,4.0,4.0,Yes,4.0,Easy credit/loans,Middle-aged,Easy credit/loans,Customer service
33,Bachelors,Single,Europe,Self-employed,Yes,Wise,Mobile banking app,Email,"Multiple branches, Customer service, Products offered",1440.0,4.0,5.0,Yes,5.0,Product range offered,Middle-aged,Product range offered,Multiple branches
35,Bachelors,Married,North America,Technician,Yes,Local,Online banking,In person (at the branch),"Customer service, Proximity",1e-11,5.0,5.0,Yes,5.0,Nothing,Middle-aged,Nothing,Customer service
20,High school Diploma,Single,Europe,Student,Yes,Caixa Geral de Depósitos,Mobile banking app,Email,Products offered,1.0,4.0,4.0,Yes,4.0,Proper information about products,Young,Proper information about products,Products offered
20,High school Diploma,Single,Europe,Student,Yes,ativo bank,Bank ATM,Telephone,Customer service,60.0,4.0,4.0,Yes,5.0,"Customer service, Product range offered, Proper information about products",Young,Customer service,Customer service
23,Bachelors,Single,Europe,Services,Yes,CGD,Mobile banking app,Email,"Customer service, Products offered",30.0,2.0,2.0,No,3.0,Customer service,Young,Customer service,Customer service
19,High school Diploma,Single,Europe,Student,Yes,Crédito Agrícola,Mobile banking app,Telephone,Customer service,10.0,5.0,5.0,Yes,5.0,Product range offered,Young,Product range offered,Customer service
22,High school Diploma,Single,Europe,Student,Yes,UniCredit,Mobile banking app,Email,Customer service,10.0,4.0,4.0,Yes,4.0,Proper information about products,Young,Proper information about products,Customer service
27,Bachelors,Single,Europe,Administrative,Yes,CGD,Mobile banking app,Telephone,"Multiple branches, Products offered",25.0,3.0,4.0,Yes,3.0,Product range offered,Middle-aged,Product range offered,Multiple branches
22,High school Diploma,Single,Europe,Unemployed,Yes,UNFCU,Bank ATM,Telephone,Proximity,25.0,2.0,3.0,No,3.0,"Customer service, Proper information about products, Net banking",Young,Customer service,Proximity
30,Bachelors,Single,North America,Student,Yes,Chase,Mobile banking app,Telephone,"Customer service, Products offered",15.0,5.0,4.0,Yes,5.0,Net banking,Middle-aged,Net banking,Customer service
28,Bachelors,Single,Europe,Services,Yes,ActivoBank,Mobile banking app,Telephone,Customer service,5.0,5.0,5.0,Yes,5.0,None,Middle-aged,None,Customer service
41,Masters,Single,Europe,Services,Yes,BPI,Mobile banking app,Telephone,"Customer service, Deposit Security",5.0,4.0,4.0,Yes,4.0,Net banking,Old,Net banking,Customer service
29,Bachelors,Married,Europe,Manager,Yes,ing,Mobile banking app,Telephone,Customer service,15.0,3.0,3.0,Yes,4.0,Proper information about products,Middle-aged,Proper information about products,Customer service
31,Masters,Single,Europe,Administrative,Yes,Swedbank ,Online banking,Telephone,"Customer service, Proximity",20.0,4.0,5.0,Yes,5.0,Net banking,Middle-aged,Net banking,Customer service
26,Masters,Married,Europe,Self-employed,Yes,Luminor,Mobile banking app,Email,"Multiple branches, Customer service",16.0,4.0,5.0,Yes,3.0,Easy credit/loans,Young,Easy credit/loans,Multiple branches
27,Masters,Single,Europe,Blue collar,Yes,Crefito Geral de Depositos,Bank ATM,In person (at the branch),"Customer service, Products offered",30.0,2.0,3.0,No,3.0,"Customer service, Proper information about products",Middle-aged,Customer service,Customer service
22,High school Diploma,Single,Europe,Services,Yes,Ctt,Mobile banking app,Telephone,"Customer service, Proximity, Products offered",1440.0,3.0,4.0,Yes,4.0,"Customer service, Product range offered",Young,Customer service,Customer service
21,High school Diploma,Single,Europe,Student,Yes,Revolut,Mobile banking app,Telephone,Customer service,10.0,4.0,3.0,Yes,4.0,Customer service,Young,Customer service,Customer service
31,Bachelors,Single,Europe,Services,Yes,Banco Portugues de Investimento,Mobile banking app,In person (at the branch),Customer service,30.0,1.0,3.0,Yes,5.0,Customer service,Middle-aged,Customer service,Customer service
29,Bachelors,Single,Europe,Student,Yes,BiG,Online banking,Email,Customer service,2.0,4.0,5.0,Yes,4.0,Proper information about products,Middle-aged,Proper information about products,Customer service
33,Bachelors,Single,North America,Student,Yes,Fifth Third Bank ,Mobile banking app,In person (at the branch),No maintenance fees,2.0,5.0,5.0,Yes,5.0,Easy credit/loans,Middle-aged,Easy credit/loans,No maintenance fees
35,High school Diploma,Married,Europe,Administrative,Yes,Barclays ,Branch banking,Telephone,Multiple branches,5.0,3.0,4.0,Yes,5.0,Customer service,Middle-aged,Customer service,Multiple branches
17,Gymnasium,Single,Europe,Student,Yes,Nordea,Mobile banking app,Email,Customer service,10.0,4.0,1.0,Yes,5.0,Customer service,Young,Customer service,Customer service
